run,evaluations,best_so_far
3,86381,67.92999999999999
3,86409,67.92999999999999
3,86423,67.92999999999999
3,86425,67.92999999999999
3,86457,67.92999999999999
3,86475,67.92999999999999
3,86491,67.92999999999999
3,86505,67.92999999999999
3,86533,67.92999999999999
3,86559,67.92999999999999
3,86579,67.92999999999999
3,86595,67.92999999999999
3,86613,67.92999999999999
3,86643,67.92999999999999
3,86669,67.92999999999999
3,86671,67.92999999999999
3,86703,70.15
3,86717,70.15
3,86731,70.15
3,86749,70.15
3,86765,70.15
3,86767,70.15
3,86793,70.15
3,86823,70.15
3,86855,70.15
3,86871,70.15
3,86897,70.15
3,86899,70.15
3,86925,70.15
3,86939,70.15
3,86967,70.15
3,86985,70.15
3,86987,73.07
3,87001,73.07
3,87027,73.07
3,87041,73.07
3,87055,75.17999999999998
3,87087,75.17999999999998
3,87101,75.17999999999998
3,87129,75.17999999999998
3,87143,75.17999999999998
3,87157,75.17999999999998
3,87159,75.17999999999998
3,87177,75.17999999999998
3,87203,75.17999999999998
3,87229,75.17999999999998
3,87257,75.17999999999998
3,87285,75.17999999999998
3,87287,75.17999999999998
3,87301,75.17999999999998
3,87331,75.17999999999998
3,87349,75.17999999999998
3,87363,75.17999999999998
3,87379,75.17999999999998
